PLAYER,TYPE,PRICE PAID,Team,Year
Ajinkya Rahane,Batter,"50,00,000",Chennai Super Kings,2023
Bhagath Varma,All-Rounder,"20,00,000",Chennai Super Kings,2023
Kyle Jamieson,Bowler,"1,00,00,000",Chennai Super Kings,2023
Ajay Mandal,All-Rounder,"20,00,000",Chennai Super Kings,2023
Nishant Sindhu,All-Rounder,"60,00,000",Chennai Super Kings,2023
Shaik Rasheed,Batter,"20,00,000",Chennai Super Kings,2023
Ben Stokes,All-Rounder,"16,25,00,000",Chennai Super Kings,2023
Sanvir Singh,All-Rounder,"20,00,000",Sunrisers Hyderabad,2023
Harry Brook,Batter,"13,25,00,000",Sunrisers Hyderabad,2023
Heinrich Klaasen,Wicket-Keeper,"5,25,00,000",Sunrisers Hyderabad,2023
Akeal Hosein,Bowler,"1,00,00,000",Sunrisers Hyderabad,2023
Mayank Markande,Bowler,"50,00,000",Sunrisers Hyderabad,2023
Adil Rashid,Bowler,"2,00,00,000",Sunrisers Hyderabad,2023
Anmolpreet Singh,Batter,"20,00,000",Sunrisers Hyderabad,2023
Vivrant Sharma,All-Rounder,"2,60,00,000",Sunrisers Hyderabad,2023
Samarth Vyas,All-Rounder,"20,00,000",Sunrisers Hyderabad,2023
Upendra Singh Yadav,Wicket-Keeper,"25,00,000",Sunrisers Hyderabad,2023
Nitish Kumar Reddy,Wicket-Keeper,"20,00,000",Sunrisers Hyderabad,2023
Mayank Agarwal,Batter,"8,25,00,000",Sunrisers Hyderabad,2023
Mayank Dagar,All-Rounder,"1,80,00,000",Sunrisers Hyderabad,2023
Phil Salt,Wicket-Keeper,"2,00,00,000",Delhi Daredevils,2023
Ishant Sharma,Bowler,"50,00,000",Delhi Daredevils,2023
Rilee Rossouw,Batter,"4,60,00,000",Delhi Daredevils,2023
Manish Pandey,Batter,"2,40,00,000",Delhi Daredevils,2023
Mukesh Kumar,Bowler,"5,50,00,000",Delhi Daredevils,2023
Shivam Mavi,Bowler,"6,00,00,000",Gujarat Titans,2023
K.S. Bharat,Wicket-Keeper,"1,20,00,000",Gujarat Titans,2023
Urvil Patel,Wicket-Keeper,"20,00,000",Gujarat Titans,2023
Mohit Sharma,Bowler,"50,00,000",Gujarat Titans,2023
Joshua Little,Bowler,"4,40,00,000",Gujarat Titans,2023
Kane Williamson,Batter,"2,00,00,000",Gujarat Titans,2023
Odean Smith,All-Rounder,"50,00,000",Gujarat Titans,2023
Kulwant Khejroliya,Bowler,"20,00,000",Kolkata Knight Riders,2023
Shakib Al Hasan,All-Rounder,"1,50,00,000",Kolkata Knight Riders,2023
Vaibhav Arora,Bowler,"60,00,000",Kolkata Knight Riders,2023
N. Jagadeesan,Wicket-Keeper,"90,00,000",Kolkata Knight Riders,2023
David Wiese,All-Rounder,"1,00,00,000",Kolkata Knight Riders,2023
Mandeep Singh,Batter,"50,00,000",Kolkata Knight Riders,2023
Litton Das,Wicket-Keeper,"50,00,000",Kolkata Knight Riders,2023
Suyash Sharma,Bowler,"20,00,000",Kolkata Knight Riders,2023
Amit Mishra,Bowler,"50,00,000",Lucknow Super Giants,2023
Nicholas Pooran,Wicket-Keeper,"16,00,00,000",Lucknow Super Giants,2023
Romario Shepherd,All-Rounder,"50,00,000",Lucknow Super Giants,2023
Daniel Sams,All-Rounder,"75,00,000",Lucknow Super Giants,2023
Swapnil Singh,All-Rounder,"20,00,000",Lucknow Super Giants,2023
Yudhvir Charak,All-Rounder,"20,00,000",Lucknow Super Giants,2023
Prerak Mankad,All-Rounder,"20,00,000",Lucknow Super Giants,2023
Yash Thakur,Bowler,"45,00,000",Lucknow Super Giants,2023
Naveen Ul Haq,Bowler,"50,00,000",Lucknow Super Giants,2023
Jaydev Unadkat,Bowler,"50,00,000",Lucknow Super Giants,2023
Jhye Richardson,Bowler,"1,50,00,000",Mumbai Indians,2023
Nehal Wadhera,All-Rounder,"20,00,000",Mumbai Indians,2023
Raghav Goyal,Bowler,"20,00,000",Mumbai Indians,2023
Cameron Green,All-Rounder,"17,50,00,000",Mumbai Indians,2023
Vishnu Vinod,Wicket-Keeper,"20,00,000",Mumbai Indians,2023
Duan Jansen,All-Rounder,"20,00,000",Mumbai Indians,2023
Piyush Chawla,Bowler,"50,00,000",Mumbai Indians,2023
Shams Mulani,All-Rounder,"20,00,000",Mumbai Indians,2023
Harpreet Bhatia,Batter,"40,00,000",Punjab Kings,2023
Shivam Singh,All-Rounder,"20,00,000",Punjab Kings,2023
Vidwath Kaverappa,Bowler,"20,00,000",Punjab Kings,2023
Mohit Rathee,All-Rounder,"20,00,000",Punjab Kings,2023
Sam Curran,All-Rounder,"18,50,00,000",Punjab Kings,2023
Sikandar Raza,All-Rounder,"50,00,000",Punjab Kings,2023
Jason Holder,All-Rounder,"5,75,00,000",Rajasthan Royals,2023
Adam Zampa,Bowler,"1,50,00,000",Rajasthan Royals,2023
Abdul P A,All-Rounder,"20,00,000",Rajasthan Royals,2023
Akash Vashisht,All-Rounder,"20,00,000",Rajasthan Royals,2023
Donovan Ferreira,Wicket-Keeper,"50,00,000",Rajasthan Royals,2023
Kunal Rathore,Wicket-Keeper,"20,00,000",Rajasthan Royals,2023
Joe Root,Batter,"1,00,00,000",Rajasthan Royals,2023
Murugan Ashwin,Bowler,"20,00,000",Rajasthan Royals,2023
K.M. Asif,Bowler,"30,00,000",Rajasthan Royals,2023
Sonu Yadav,All-Rounder,"20,00,000",Royal Challengers Bangalore,2023
Himanshu Sharma,Bowler,"20,00,000",Royal Challengers Bangalore,2023
Avinash Singh,Bowler,"60,00,000",Royal Challengers Bangalore,2023
Manoj Bhandage,All-Rounder,"20,00,000",Royal Challengers Bangalore,2023
Will Jacks,Batter,"3,20,00,000",Royal Challengers Bangalore,2023
Reece Topley,Bowler,"1,90,00,000",Royal Challengers Bangalore,2023
Rajan Kumar,Bowler,"70,00,000",Royal Challengers Bangalore,2023
